abasshen,abash
saue,save
saueine,savin
sauetè,safety
sawe,saw
sawe,sow
say,saw
saȝ,saw
saȝtled,settled
scærp,sharp
scaplorye,scarf
scarren,scare
scars,scarce
scarsetè,scarcity
scarsnesse,scarceness
sceolde,should
schade,shade
schaft,shape
schaken,shake
schame,shame
schamelich,shameful
schamien,ashamed
schap,shape
scharp,sharp
scharpin,sharp
schaven,shave
schawen,shew
sche,she
scheden,shed
scheef,sheaf
scheep,sheep
scheld,shield
schelden,shield
schelder,shielder
scheome,shame
scheot,shoots
schepieð,shape
schepne,shed
scheppen,create
scherde,sherd
schere,shears
schere,shear
scherreue,sheriff
scherte,shirt
schete,sheet
scheter,shooter
schethe,sheath
schetten,shut
schey,shy
schift,shift
schilden,shield
schip,ship
schirchen,shriek
schitte,shut
scho,shoe
scho,she
schod,shod
scholde,should
scholle,shall
schome,shame
schomelich,shameful
schon,shone
schonye,shun
schoppe,shop
schort,short
schorten,short
schouel,shovel
schowre,shower
schowwyn,shove
schrapen,scrape
schrewen,curse
schrewid,cursed
schrewidnesse,wickedness
schrippe,scrip
schrychen,screech
schulde,should
schuldere,shoulder
schulen,shall
schulle,shrilly
schunien,shun
schup,ship
schurge,scourge
schut,shoot
schylly,sharply
schyllynge,shilling
schyne,shin
schynen,shine
schynyng,lightning
schyre,shire
schyueren,shivers
scipen,ships
scite,city
sclate,slate
sclaundre,scandal
sclaundre,slander
sclender,slender
scolden,should
scole,school
scoler,scholar
scorclen,scorch
scorcnen,scorch
scorge,scourge
scorn,shorn
scrippe,scrip
sculde,should
sealte,salt
sealte,salt
seare,sere
seawede,showed
sechen,seek
seck,sack
secre,secret
secrely,secretly
secrenesse,secrecy
secte,sect
sectour,executor
sed,seed
see,sea
seek,sick
seel,seal
seeled,cieled
seelen,seal
seeling,sealing
seet,sat
seet,seat
sege,siege
segge,sedge
sein,seen
seint,saint
seintuarie,sanctuary
seirse,search
seise,seize
seke,seek
seknesse,sickness
self,self
selke,silk
selle,cell
sellen,sell
seller,dealer
seller,cellar
seluer,silver
semblably,similarly
semble,assemble
semble,assembly
semen,seem
semliche,seemly
sen,seen
senden,send
senne,sin
seofe,seven
seolf,self
seolke,silk
seoluer,silver
seon,see
seouen,seven
seowen,sew
sercle,circle
sergeant,servant
sermoun,sermon
seruisable,serviceable
seruise,service
seruitute,servitude
serye,series
seryowsly,seriously
sese,seize
sesoun,season
set,sat
sete,seat
setel,seat
sethen,seethe
seurte,surety
seuen,seven
seuend,seventh
seuen-tene,seventeen
sewen,sew
sewintene,seventeen
sexe,six
sexte,sixth
sexteyn,sexton
seych,sigh
seyed,swayed
seyen,say
seyl,sail
seyn,seen
shæfess,sheaves
shæwen,shew
sheeuering,shivering
sherch,search
sho,she
shriues,sheriffs
sic,sick
siche,such
sicht,sighed
sidir,cider
signefien,signify
sik,sick
siknesse,sickness
sikul,sickle
silke,silk
siluer,silver
sinegen,sin
sinen,shone
sinne,sin
sipes,ships
sis,six
sist,seest
siste,sixth
sistren,sisters
sixe,six
sixte,sixth
siȝede,sighed
skalk,scalp
skalp,scalp
skarrit,scared
skeet,swift
skewe,sky
sklither,slippery
sla,slay
slagen,slain
slak,slack
slakien,slack
slape,sleep
slawe,slow
sleen,slay
sleet,sleet
slepe,sleep
slepen,sleep
slepyng,sleep
sleue,sleeve
sleueles,sleeveless
sley,sly
sliden,slide
slider,slippery
slidernesse,slipperyness
sliper,slippery
slitten,slit
slod,slid
sloh,slough
slokyn,slake
slomeren,slumber
slomering,slumbering
sloppar,slippery
slouthe,sloth
slynge,sling
smatte,smote
smell,smell
smellen,smell
smeorten,smart
smiten,smite
smok,smock
smok-les,smock
smolder,smoke
smolderen,smoulder
smorðer,smoke
smul,smell
snaw,snow
sniwen,snow
snow,snow
snowte,snout
sobre,sober
soburnesse,soberness
soche,such
socht,sought
socour,succour
sodeyn,sudden
sohte,sought
sokelynge,suckling
solas,solace
solde,should
solempne,solemn
soleyne,sullen
somer,summer
somme,sum
sond,sand
sone,son
sone,soon
song,sang
songe,song
sonne,sun
soope,soap
soper,supper
sophyme,sophism
soppe,sop
sore,soar
sore,sore
sore,sore
soren,shorn
sorwe,sorrow
sorwe-ful,sorrowful
sorwen,sorrow
sorwynge,sorrowing
sorynesse,sadness
soster,sister
sothe,south
sothroun,southern
souerty,surety
soule,soul
soun,sound
sound,swoon
sounen,sound
sounyng,sounding
souper,supper
souple,supple
souren,sour
souerentè,sovereignty
souereyn,sovereign
sowdan,sultan
sowdanesse,sultaness
sowdyowre,soldier
sowen,sow
sowthe,south
sowtherne,southern
spæche,speech
spanynge,weaning
sparkle,spark
sparre,spar
sparwe,sparrow
spatel,spittle
spateling,spitting
spece,species
speche,speech
sped,speed
speir,sphere
speken,speak
spellien,relate
spencer,officer
spenden,spend
spere,sphere
spere,spear
speten,spit
spice,species
spicerye,spicery
spie,spy
spien,spy
splene,spleen
spore,spur
spotil,spittle
spousen,espouse
sprangis,rays
spraulin,sprawl
spreden,spread
spreit,spirit
sprengen,sprinkle
sprenkelin,sprinkle
spring,sprig
springen,sprinkle
sprutlyt,speckled
spuylis,spoils
spynnare,spinner
spynnen,spin
squames,scales
squier,squire
sqware,square
ssolde,should
ssoldren,shoulders
stablischen,establish
staire,stair
stane,stone
starnys,stars
staþelien,establish
staþelnesse,stability
statut,statute
stede,steed
steir,stir
stelen,steal
stelðe,stealth
stenen,stone
steorren,stars
stepe,steep
stere,stout
steren,steer
steren,stir
sterne,star
sterne,stern
sterre,star
sterten,start
steruing,dying
stiarne,stern
stikke,stick
stillatorie,distillation
stingen,sting
stiren,stir
stobil,stubble
stok,stocks
stole,stool
stole,robe
stonge,stung
stonien,stun
stoon,stone
stoor,stock
store,strong
storour,restorer
stoupen,stoop
stouth,stealth
stowyn,stow
stra,straw
strain,distrain
strang,strong
strate,street
straunge,strange
strawe,straw
strayny,restrain
strecchen,stretch
stree,straw
strenge,string
strengen,strengthen
strengðen,strengthen
strengthy,strong
strenken,sprinkle
strenkil,sprinkle
strepen,strip
strete,street
strif,strife
strifen,strive
strogelen,struggle
strogelynge,struggling
stronde,shore
stronge,strong
strook,stroke
stroyen,destroy
strupen,strip
stuard,steward
stubbe,stump
stunt,blunt
sturioun,sturgeon
sty,sty
styf,stiff
sty-rop,stirrup
sublymen,sublimate
sublyming,sublimation
sudekene,subdeacon
sudene,subdean
suffisance,sufficiency
suffisant,sufficient
suffren,suffer
suget,subject
suld,should
sulf,self
sulien,sully
sullen,sell
suller,seller
suluer,silver
sumer,summer
sumundis,summonses
sund,sound
sunen,sound
sungen,sang
sunne,sun
sunne,sin
superflue,superfluous
supposinge,supposition
supposs,supposing
supprioure,subprior
sur,sour
sure,sure
surety,surety
surfait,surfeit
surplys,surplice
suspect,suspicion
suspect,suspicion
sustene,sustain
suster,sister
suteli,subtly
suthroun,southern
swage,assuage
sware,square
swarve,swerve
swellen,swell
swelth,filth
swelwen,swallow
sweote,sweet
swepen,sweep
swerde,sword
sweren,swear
swering,swearing
sweruen,swerve
swete,sweet
sweten,sweet
sweten,sweat
sweuening,dreaming
sweuien,sleep
swien,silent
swinden,dwindle
swirk,jerk
swo,so
swogh,swoon
swolowen,swallow
swot,sweat
swote,sweet
swough,swoon
swowe,swoon
swowen,swoon
swowne,swoon
swownen,swoon
swyche,such
syde,wide
syment,cement
symented,cemented
synewe,sinew
syngabil,sing
syngen,sing
synnamome,cinnamon
syrupe,syrup
sythe,scythe
taa,taa
tachen,fasten
tade,toad
taille,tally
taillour,tailor
takel,tackle
taken,token
tale,tale
talyage,taxing
tapecer,maker
tapecerye,tapestry
tappe,tap
tarne,tarn
tasker,thrasher
tast,taste
tasten,taste
tauny,tawny
tavelen,tables
tawer,tanner
taxen,tax
taxoure,taxer
teares,tears
techen,teach
teer,tear
teld,tent
teme,text
teme,tame
temp,tempt
temporalite,temporal
tempre,temper
tempre,temperate
tend,tenth
tende,tenth
tende,tithe
tennes,tennis
tente,tent
tenyse,tennis
tere,tear
teren,tear
teren,tar
terme,term
terminen,determine
terre,tar
testif,testy
teyne,thin
teyse,poise
þane,thane
þank,thank
þenne,thence
þere,there
þesternesse,darkness
þicke,thick
þicke,thicket
þit,it
þondringe,thundering
þorn,thorn
thoue,thou
þouht,thought
thowe,thaw
thowen,thaw
þreaten,threaten
threed,thread
þreschen,thresh
þrescwolde,threshold
thretnen,threaten
thrillage,thraldom
þrist,thirst
þrist,thrust
þrosshen,threshed
þrusche,thrush
þrusten,thrust
þurst,thirst
þwang,thong
þwert,thwart
þwong,thong
tiding,tidings
til,till
tilier,tiller
tilðe,toil
tirannye,tyranny
tiraunt,tyrant
tirauntrie,tyranny
tiðende,tidings
tiðing,tidings
titmose,titmouse
tixt,text
tiȝen,tie
to-comen,together
to-foren,before
to-gadere,together
to-genes,towards
to-grinden,grind
to-hewen,hew
to-hope,hope
tokne,token
tolie,till
tolle,toll
tollen,toll
to-morwen,tomorrow
to-name,cognomen
tonge,tongue
tonne,tun
too,toe
topase,topaz
to-racen,scrape
to-renden,rend
toret,turret
torf,turf
to-rightes,aright
to-riven,twain
torment,torment
tormenten,torment
tormentynge,torture
tormentyse,torture
tornen,turn
to-samen,together
to-swellen,swell
tour,tower
tournen,turn
tourneyment,tournament
towaille,towel
to-ward,towards
toȝeines,towards
trace,track
tracen,trace
trade,trodden
traitorye,treachery
traitour,traitor
trapped,trappings
trappure,trappings
trauail,toil
trauailous,laborious
trays,traces
trayste,trust
traytyse,truce
tre,tree
treatyce,truce
trechery,trickery
trechurly,treacherously
treden,tread
treilȝis,trellis
tremlen,tremble
tremlynge,trembling
treo,tree
treowe,true
tresor,treasure
tresorere,treasurer
tresorie,treasury
tresoun,treason
trespas,trespass
trespassen,trespass
tretee,treaty
tretis,pretty
tretis,treaty
trewage,tribute
trewe,true
trewe,truce
trewes,trees
trewes,truce
triblen,trouble
tricherie,trickery
trien,try
trist,tryst
tristen,trust
tristnen,trust
troblen,trouble
trofle,trifle
trompe,trump
trompe,trumpet
tronchoun,truncheon
trone,throne
trost,trust
trouble,troubled
trouthe,truth
trowabile,credible
trublen,trouble
truste,trusted
trymlyt,trembled
tuker,fuller
tumben,tumble
tunge,tongue
tunne,tun
tuo,two
turnen,turn
turues,turf
tus,thus
tute,tute
tuteler,tattler
twa,two
tweire,twain
twelf,twelve
twestis,twigs
tweye,twain
tweye,twice
tweyne,twain
twichand,touching
twie,twice
twinen,twist
twinken,wink
twinklen,twinkle
twyes,twice
tycement,enticement
tyle,tile
tymber,timber
tynd,tine
tyne,tiny
tynken,tinkle
tynkere,tinker
tyred,attired
umbe-grouen,grown
vmbe-set,beset
um-louke,lock
um-sege,besiege
um-set,beset
um-shadow,shadow
um-stride,bestride
un-auanced,unpromoted
un-bicumlich,unbecoming
un-bileue,unbelief
un-binden,unbind
un-bokelen,unbuckle
un-brosten,unburst
unce,ounce
un-cofre,coffer
un-conabil,unsuitable
un-conabilly,unsuitably
un-conabiltes,incongruities
vn-conandly,ignorantly
un-corrupcioun,incorruption
undampned,uncondemned
un-defoulid,undefiled
under,under
under-giten,perceive
under-ling,inferior
under-preost,underpriest
under-standen,understand
under-take,undertake
un-discreet,undiscerning
undon,undo
undoubtabili,doubt
un-eað,uneasy
un-festlich,unfestive
un-filed,undefiled
un-flichand,unflinching
un-fruytouse,unfruitful
un-gert,ungirt
un-happy,unlucky
un-heled,uncovered
un-imeteliche,infinitely
universite,universe
un-iwasse,unwashen
un-kouth,unknown
un-kynde,unkind
un-kyndenesse,unkindness
un-liche,unlike
un-louken,unlock
un-mayte,unmeet
un-meuable,immovable
un-moebles,immovable
un-noble,ignoble
un-obedience,disobedience
un-orne,worn
un-perfit,imperfect
un-pined,untouched
un-riȝtfulnesse,unrighteousness
un-riȝtwisnesse,unrighteousness
un-scilwis,unwise
un-scilwisly,unwisely
un-sely,unhappy
un-slekked,unslacked
un-sounded,unhealed
un-souerable,insufferable
un-sowen,sewn
un-spedful,unsuccessful
un-sperren,unfasten
un-stedefast,unsteady
un-tiffed,unadorned
until,unto
un-tiled,untilled
un-to,unto
un-trewe,untrue
un-trewthe,untruth
un-vysible,invisible
un-ware,unwarily
un-warly,unawares
un-weawed,unveiled
un-wemmed,unstained
un-werȝed,unwearied
un-willich,unwilling
un-wis,unwise
un-wit,wit
un-witti,unwise
un-wityng,unknowing
un-wrien,uncover
un-wurði,unworthy
un-wurðlich,unworthy
un-yliche,unlike
vppon,upon
up-risen,rise
up-set,set
up-sterten,start
up-ward,upward
up-wauen,upward
urnen,run
usure,usury
ut-laȝe,outlaw
vacherye,dairy
vader,father
uæin,fain
uair,fair
vale,vale
vane,vane
vanishen,vanish
vant,vaunt
vantwarde,vanguard
uaren,fare
varien,vary
vath,vah
uaumpe,vamp
vaunten,vault
vauntwarde,vanguard
vauntynge,vaulting
vayn,vein
veaw,few
veel,veal
ueir,fair
uelen,feel
veluet,velvet
vendage,vintage
venesoun,venison
venge,avenge
vengeable,vengeance
vengeaunce,vengeance
venkisen,vanquish
venymous,venomous
verdegrese,verdigris
verdite,verdict
vermiloun,vermilion
vernisch,varnish
verraily,verily
verrayment,verily
vers,verse
versifyour,versifier
verveine,vervain
vestiment,vestment
vewe,few
veyne,vein
viage,voyage
vicarie,vicar
vilanye,villainy
vile,vile
villiche,vilely
viole,violate
viole,vial
vitailler,victualler
voide,void
vouches,avouches
vow,vow
vowchen,vouch
vowtres,vultures
vyne,vine
waast,waist
wacchen,watch
waden,wade
wæs,was
wafre,wafer
waghe,wall
waille,wail
waith,fish
waithing,fishing
waken,awake
wakien,awake
wal,wall
wald,wood
wald-eȝed,walleyed
walette,wallet
walke,walk
walken,walk
walle,water
walter,water
walteren,welter
walwyng,rolling
wambe,womb
wandren,wander
wanen,wane
wanene,whence
wangeliste,evangelist
wanne,when
wapne,weapon
wappynge,barking
warant,warrant
waranten,warrant
ward,guard
ward,world
warde,ward
wardeyne,warden
ware,worse
wareyne,warren
warke,work
warnin,warn
was,was
waschen,wash
waste,waste
waste,waist
wat,what
water,water
watloker,sooner
waueren,waver
wawe,wall
wawe,wave
wax,wax
wayke,weak
waymenten,lament
waymentynge,lamentation
wayowre,wager
wayten,watch
weater,water
webbe,weaver
webster,weaver
weder,wether
weder,weather
wederen,weather
wedous,widows
weep,wept
weet,wet
weeten,wet
weir,war
welde,weld
welden,wield
wellen,well
wellen,weld
wenen,ween
wenen,wean
wenge,wing
weod,weed
weole,weal
weorc,work
weoren,were
weorld,world
wepen,weep
wepne,weapon
wer,war
werble,warble
werblen,warble
werd,world
were,war
wereld,world
weren,were
werke,work
werke,work
werkinge,aching
werld,world
wermod,wormwood
wern,were
werrayour,warrior
werre,worse
werre,war
werse,worse
werte,wart
werwolf,manwolf
wes,was
weschen,wash
wether,wether
wette,wetted
wexen,wax
wey,way
weye,wey
weyen,weigh
wha,who
whær,where
whal,whale
whan,when
whanene,whence
whannes,whence
what,why
whele,wheel
whennes,whence
wher,where
whete,wheat
whethen,whence
whetten,sharpen
whi,why
which,which
whider,whither
whiles,whiles
whilk,which
whitely,quite
whulche,which
whyrle,whirl
whyrlyn,whirl
whyte,wine
whyte,white
wid,wide
widewe,widow
wif,wife
wihte,weight
wile,while
wille,will
wimman,woman
wimplin,wimple
wimplunge,wimpling
winnen,win
wirken,work
wit,with
with-draȝen,withdraw
wið-stod,stood
wlappen,wrap
woche,which
wode,woad
wolde,would
wolf,wolf
wolle,wool
wollen,woollen
wolt,wilt
won,wan
wonder,wonderful
wondrien,wonder
wondringe,wandering
wone,one
wonen,weep
wonne,when
wonung,waning
wopen,wept
wopne,urine
worc,work
worchen,work
worde,word
wore,were
woreld,world
wormod,wormwood
worre,war
worri,war
worth,worthy
wose,ooze
wouke,week
wound,wound
wounden,wound
wower,wooer
wrablis,warblings
wrak,wreck
wranne,wren
wrastlen,wrestle
wrecche,wretch
wrecched,wretched
wrenne,wren
wreth,wrath
wrethe,wreath
wringen,wring
wryten,write
wrythen,writhe
wuch,which
wule,while
wule,will
wurst,worst
wuschen,wish
wydder,wither
wyghte,weight
wynd,wind
wyndas,windlass
wyndewen,winnow
wyne-grapis,vinegrapes
wynken,wink
wyrle,whirl
wyue,wife
yane,yawn
yate,gate
yawle,howl
ydolastre,idolater
ydolatrie,idolatry
ydole,idol
ydre,hydra
yeant,giant
yeer,year
yefte,gift
yeir,years
yelde-halle,guildhall
yelden,yield
yelderes,debtors
yelleden,yelled
yelwe,yellow
yemen,heed
yemernesse,sadness
yerle,earl
yerly,early
yerthe,earth
yete,yet
yftles,giftless
ying,young
yis,yes
yistirday,yesterday
yit,yet
y-liche,alike
ympne,hymn
yolle,yell
yollyng,yelling
yond,yonder
yonge,young
yonghede,youth
youngth,youth
youngthly,youthful
youthe,youth
yoye,joy
ypocrysie,hypocrisy
ypocryte,hypocrite
ysels,ashes
ysope,hyssop
ysue,issue
yugement,judgment
yuory,ivory
ȝate,gate
ȝea,yea
ȝe-arnen,earn
ȝeer,year
ȝeerli,yearly
ȝeft,gift
ȝelke,yolk
ȝellen,yell
ȝellynge,yelling
ȝelow,yellow
ȝemanry,yeomanry
ȝeme-leas,careless
ȝemen,heed
ȝe-meten,meet
ȝeolewe,yellow
ȝeornen,yearn
ȝet,yet
ȝeynsey,gainsay
ȝicchen,itch
ȝiet,yet
ȝif,if
ȝife,gift
ȝift,gift
ȝister-,yester
ȝister-dai,yesterday
ȝister-evin,yestereve
ȝiuen,give
ȝon,yon
ȝonde,yon
ȝonder,yonder
ȝong,young
ȝongthe,youth
ȝorle,earl
ȝoskinge,sobbing
ȝotun,molten
ȝoure,your
ȝou-selue,yourselves
ȝouthe,youth
ȝouthede,youth
dia-borago,borage
dia-ciminum,cumin
dia-rubarbe,rhubarb
abaciste,abacus
abacus,abacus
abaiing,barking
abaillen,bail
abaiten,excite
abak,back
abatailled,fortified
abatailment,battlement
abbā,abbot
abbāciāl,abbey
abbicion,deviation
abbodesse,abbess
abbodīe,abbacy
abbod-rīce,abbot
abbot,abbey
abboship,abbot
abbreviāten,shorten
abedde,bed
abenche,bench
abernen,burn
abhorāble,abhorrent
abilement,equipment
abīme,abyss
ablāken,darken
ablīnden,blind
ablouen,blow
aborchi,aorta
aborsum,abortion
abort,abortion
abǒundaunt,abundance
abǒunding,abundance
abǒve-writen,written
abrasing,abrasion
abreǧing,shortening
abreiding,upbraiding
abrōchen,broach
abrotet,broth
abscisǒurs,scissors
absence,absence
absent,absent
absenting,absence
absteining,refraining
abstinence,abstinence
abūsen,abuse
abushement,ambush
abūsing,abuse
acasten,cast
accent,accent
accept,accept
acceptāble,agreeable
acceptāciǒun,acceptance
accepting,acceptance
accidentāl,incidental
accomplisshement,attainment
accǒuntāble,responsible
accǒuntant,accounting
accǒunten,count
acūsātor,accuser
acūsing,accusing
accustǒmāblī,customarily
accustǒmed,accustomed
āche,ache
achekked,checked
achēsǒunen,accuse
aclokke,clock
aclǒmmed,benumbed
aclōsen,enclose
acōld,cold
acōlden,cold
acǒmen,come
acquēre,acquire
acreuen,accrue
acrōchement,encroachment
acrois,cross
acyanes,tians
adamantīn,adamant
adam-irǧik,adam
adapted,fitted
adden,add
additament,increment
adese,adz
adēth,death
adetted,debt
adigression,digression
adinvenciǒun,inventing
adjācent,adjacent
adject,adjacent
administren,administer
admirācion,admiration
admittīble,permissible
adnullātion,annulment
adopten,adopt
adǒun-ward,downward
adrinken,drown
adulled,dull
adulterī,adultery
adulteǒur,adulterer
advenciǒun,adventitious
advent,advent
adverbe,adverb
adversārilī,adversely
adversiǒus,adversity
adverten,observe
advictailling,provisioning
ær-witte,unwise
afailen,fail
afallen,fall
afeinten,faint
afellen,fell
afer,afar
aferres,afar
aferrom,afar
affamine,famine
affecten,affection
affectūǒus,affectionate
affirmāblī,affirmatively
affirmandlī,affirmatively
afflǒur,flour
afflūence,abundance
afflūent,abundant
affoilen,adorn
affricān,africa
afillen,fill
afīnden,find
afirst,first
afisshinge,fishing
aflashen,dash
aflōte,afloat
afluhte,flight
a-fōrship,ship
afǒunden,find
afresh,afresh
after-mēte,afternoon
aggreǧǧing,aggravation
aglīden,glide
agraunten,grant
agrǒunded,founded
ahungred,hungry
ahungrī,hungry
aidant,aid
aimant,adamant
airen,trek
airī,air
airlī,air
ajoinen,join
ajǒurning,adjournment
āking,pain
aknouen,know
alabastre,alabaster
alabastrum,alabaster
alacke,alack
alānes,alans
alarm,alarm
a-last,last
alciǒun,halcyon
alder,alder
alder-,alder
aldermanrīe,alderman
aldermanshipe,alderman
aldret,alder
al-drihten,almighty
āle,ale
alemaine,german
alemanes,german
alengthe,length
alexandrīn,land
alhaste,plant
aliēning,alienation
alīne,line
alissen,lessen
alīve,alive
alīves,alive
alkamist,alchemist
alkanamier,alchemist
alkanne,plant
alkarōn,koran
alleviaunce,alleviation
allīance,alliance
allīe,ally
al-lǒve,love
almande,almond
almaunder,almond
alme,elm
almeslēs,alms
almes,alms
almes,alms
alōe,aloe
aloft,aloft
alotten,allot
alǒud,aloud
aloue,low
alǒvien,love
alpes,alps
alpha,alphabet
alphabēte,alphabet
alpīne,alpine
al-rēdī,alredy
altemetrīe,altitude
alternāciǒun,alternation
alþeodī,alien
al-though,though
alūmen,alum
al-wīse,always
amalgam,amalgam
amalgaming,alloying
amarītes,asbestos
amartren,martyr
amatist,amethyst
amazōnes,amazons
ambassadrīe,emissary
ambiciǒun,ambition
ambre-grīs,ambergris
ameled,enameled
ameling,enameling
amelǒur,enameler
amendment,amendment
amendinge,mending
amenūtīsing,weakening
amerveilled,astonished
amervelen,marvel
āmiāblī,amicably
amicāble,amicable
amid-right,right
amīren,admire
amis-gōing,sinning
amoderāt,moderate
among,among
amoniciǒun,admonition
amorning,mornings
amǒrtheren,murder
amphiteātre,amphitheater
ample,ample
amplī,amply
ampte,ants
ampuller,maker
analoǧīe,analogy
anameled,ornamented
anatomīe,anatomy
andwearden,answer
andwurden,answer
anelet,ringlet
anēling,firing
aneling,anointing
anent,near
aneurismāl,aneurism
aneurismāt,aneurism
anfermien,affirm
angerful,anxious
angerfullī,painfully
angle,anglia
anglēr,angle
angling,fishing
angrī,angry
angwisshen,anguish
anī-bodī,anybody
anientishen,diminish
anightertīme,night
anight,night
anī-kin,kin
anīs,anise
anī-thing,anything
anī-whēr,anywhere
anecten,annex
anexen,annexed
anniversārie,anniversary
annumerāten,enumeration
anunciāt,announced
anoiaunce,annoyance
anoisaunce,nuisance
anopenað,open
answēring,answer
ante-,ante
antecēdent,antecedent
antecēding,antecedent
antelette,antler
antethēme,theme
anti-,anti
antimōnie,antimony
antioch,potion
antipōdes,antipodes
antipasticon,antispasis
anton,anthony
anvelt,anvil
apaiement,payment
apainen,pains
apart,apart
apassen,pass
āpe,ape
apērcen,pierce
aperten,open
aplat,flat
apleisen,please
apocrifāt,apocryphal
apologe,apology
apoloǧetik,apology
apoplexie,apoplexy
apostazīed,apostate
apostle,apostle
apostlehēd,apostle
apostolācīe,apostles
apostolāt,apostle
apostolicāl,apostolic
apoveren,impoverish
apparement,apparel
appellant,appellant
aperceiving,detecting
appēring,appearance
appetītlī,appetite
applicāciǒun,application
apointement,agreement
appreciāciǒun,appraised
apprehenciǒun,comprehension
apprehensīve,comprehending
appreising,praise
apprīser,admirer
apprōbāt,probate
apresslī,expressly
aqueintācion,acquaintance
aqueinten,acquainted
aquitement,settlement
arabe,arabic
arabes,arabs
arabī,arabic
arāble,arable
arāǧe,rage
aragon,aragon
aragǒuneis,aragon
arailen,train
araiser,raises
arank,rank
arāse,rush
arasten,wrest
arbitrātǒur,arbitrator
arbitren,arbitrator
arbolet,omelet
archāde,arcady
archanǧel,archangel
archanǧelīk,archangels
arch,arch
archebishophōd,archbishop
arched,arch
archerīe,archer
arche-stōl,archbishop
ardauntlī,ardently
arēdels,riddle
arēdīnes,readiness
areimen,redeem
arenten,rent
arēringe,bulging
arested,barbed
argūen,argue
argūmenting,reasoning
argus,argus
a-right,right
arighten,right
aright-half,right
ark,ark
ark,ark
arm,arm
arme-lengthe,length
arm-ful,armful
arm-grēt,arm
arm-hōl,armpit
arming,arming
armüre,arms
arnement,pigment
aromatik,aromatic
arōmaunt,aromatic
aroue,row
arpīe,harpy
arrad,afraid
arraiing,preparing
arraser,maker
arreinement,arraignment
arrogaunce,arrogance
ars-ward,backwards
artērie,arterial
artificiāl,artificial
asa-fetida,asafetida
asaut,rut
asāwen,sown
ascof,scorn
ascoile,scowl
ascri,cry
ascroue,escrow
asenden,send
ashāme,ashamed
ashāmed,ashamed
ashāmen,shame
ashed,shed
ashēring,shaving
ashōre,ashore
asīde,side
asīde-half,aside
asīde-hand,aside
asinging,sung
asinken,sink
asker,asks
aslēn,slay
aslēpe,asleep
aslouȝt,slant
asoft,soften
aspe,aspen
aspected,aspect
asperāǧes,asparagus
aspalt,asphalt
aspide,asp
aspīinge,spying
aspirāciǒun,inspiration
aspīren,aspire
asprenesse,harshness
asquāre,aside
asquint,squint
asauten,assault
assectur,executor
asēǧinge,siege
assemblinge,gathering
assent,assent
assenten,consent
asserere,asserts
assertīvelī,assertion
assertǒur,asserts
assessiǒun,assessment
assessorī,assistant
assh,ash
asshe,ashes
asshen,ash
assidēis,hasidim
assīgnābilī,assignably
assīgnǒur,assignee
assimilāciǒun,assimilation
assimilāten,resemble
assiriens,assyrians
assiries,assyrians
assisting,aiding
assōbren,sober
assoilen,sin
assǒmonen,summon
assouled,defiled
astenchen,stench
āster,aster
asterisk,asterisk
asterven,starve
astǒnen,stun
astranglen,strangle
astrelabie,astrolabe
astrengthen,strengthen
astroloǧīe,astrology
astronomie,astronomer
astronomien,astrologer
aswolkenesse,indolence
atariing,tarrying
atāsten,test
atcrōpen,crept
atfallen,fall
athlēte,athlete
a-thrōted,throttled
athurst,thirst
atlant,atlantic
atlantik,atlantic
atlicgen,lie
atonsen,tonsure
atrament,pigment
atrechered,tampered
at-rīnen,strike
a-tristen,trust
atscāpen,escape
atsprǒng,sprung
atteinen,attain
attenciǒun,attentiveness
attendāblī,attentively
attendement,endeavor
attenden,attention
attentelī,attention
attǒurnen,turn
attǒurner,attorney
attǒurning,return
attracciǒun,contraction
attracten,attract
atwapen,escape
auctoritātīvelī,authority
auelī,awe
auǧisten,adjust
august,august
auncestre,ancestor
auncetrel,ancestor
auncestrīe,ancestors
anǧelicāl,angelic
anǧelīk,angel
aunǧelīk,angel
anǧellīch,angel
anǧellī,angel
auricle,auricle
austērnesse,harshness
auterer,altar
autǒmed,attested
autumpne,autumn
avail,avail
avauncement,advancement
avaunt-ward,vanguard
avenǧeāble,vengeful
avenǧen,revenge
aventǒur,vent
avoidāble,avoidable
avoiding,purging
avormest,earliest
avǒutrēr,adulterer
avǒutresse,adulteress
await,await
awaiting,spying
awallop,gallop
award,award
awashen,wash
awatre,water
aweien,weigh
awestward,west
awinnen,win
awrecchen,wrench
awrīten,write
axelen,axle
axis,axis
azarabacca,asarabacca
baber-lipped,lipped
babiloine,babylonia
babilons,babylonians
babliant,babbler
bācin-ful,basinful
baddenesse,wickedness
baffing,baying
bagge,bag
bagge-ful,bagful
baggen,bag
bagge-pīpe,bagpipe
bagge-pīper,bagpipe
bagging,bags
baien,bark
baille,walls
bain,bath
bai-salt,salt
bait,bait
baiten,bait
baiting,baiting
bai-window,window
bāken,baked
bak-ern,bakery
bāking,baking
bakke,bat
bak-sīde,side
bak-spīn,bak
balauncing,hurling
bālet,bale
balking,plowing
balle,blow
balledship,baldness
balning,bathing
balteren,totter
banerer,bearer
banke,bank
banket,banquet
bannok,bannock
baptēmen,baptize
baptisāt,baptized
baptīser,baptizes
baptīsing,baptism
baptist,baptist
baptistre,baptist
barainhēde,barrenness
barbarin,barberry
barbe,beard
barberīe,barber
barbūlāt,barbed
bāre,bare
barel,barrel
