a-bac,backwards
yuel,sb
yuele,evilly
yuer,ivory
yuory,ivory
yȝe,eye
ȝæn,against
ȝaf,of
ȝal,yelled
ȝape,strong
ȝare,formerly
ȝare,ready
ȝarken,prepare
ȝarm,cry
ȝarme,yell
ȝarowe,milfoil
ȝarowe,ready
ȝate,gate
ȝe-,verbs
ȝea,yea
ȝe-arnen,earn
ȝeat,poured
ȝe-bugon,obedient
ȝe-cende,natural
ȝe-ceosen,choose
ȝed,word
ȝeddien,speak
ȝeddynge,romance
ȝede,went
ȝedire,vehement
ȝeer,year
ȝeerli,yearly
ȝef,if
ȝe-fered,company
ȝeft,gift
ȝe-fo,foe
ȝe-geng,company
ȝeid,went
ȝeien,cry
ȝeir,years
ȝe-laðien,invite
ȝe-laðiere,inviter
ȝeld,payment
ȝelden,yield
ȝeldingus,debts
ȝe-lesten,extend
ȝe-limpen,happen
ȝelke,yolk
ȝellen,yell
ȝellynge,yelling
ȝelow,yellow
ȝelpe,boasting
ȝelpen,boast
ȝelpynge,boasting
ȝeman,servant
ȝemanry,yeomanry
ȝeme,care
ȝeme-leas,careless
ȝemeleaste,carelessness
ȝemen,heed
ȝemer,sad
ȝe-meten,meet
ȝemsall,keeping
ȝene,reply
ȝeode,went
ȝeolewe,yellow
ȝeomer,sad
ȝeorne,eagerly
ȝeornen,yearn
ȝeoten,pour
ȝep,prompt
ȝer,year
ȝerd,enclosure
ȝerde,rod
ȝe-redie,ready
ȝerne,run
ȝerne,eagerly
ȝernen,yearn
ȝernful,desirous
ȝerning,desire
ȝernliche,diligently
ȝerre,outcry
ȝe-sceaft,creature
ȝe-sceapen,create
ȝe-sceod,distinction
ȝescung,covetousness
ȝe-secðe,sight
ȝet,yet
ȝeten,pour
ȝeten,yea
ȝett,gate
ȝe-wealden,control
ȝe-wer,everywhere
ȝe-winne,contend
ȝeyn,comparison
ȝeynbowght,redeemed
ȝeyncome,return
ȝeynsey,gainsay
ȝha,yea
ȝhis,yes
ȝicchen,itch
ȝielde,payment
ȝierne,eagerly
ȝiet,yet
ȝif,if
ȝife,gift
ȝift,gift
ȝimmes,gems
ȝim-stones,jewels
ȝing,young
ȝirnan,desire
ȝis,yes
ȝiscare,covetous
ȝiscen,covet
ȝiscunge,covetousness
ȝister-,yester
ȝister-dai,yesterday
ȝister-evin,yestereve
ȝit,yet
ȝiu,you
ȝiuen,give
ȝiuer,greedy
ȝok,yoke
ȝolde,paid
ȝoman,youth
ȝomere,sadly
ȝomerly,sad
ȝon,yon
ȝond,through
ȝond,yonder
ȝonde,yon
ȝonder,yonder
ȝong,young
ȝonghede,youth
ȝonglyng,disciple
ȝongthe,youth
ȝop,bold
ȝore,formerly
ȝorle,earl
ȝornde,yearned
ȝoskinge,sobbing
ȝotun,molten
ȝou,dat
ȝoulen,howl
ȝoure,your
ȝou-selue,yourselves
ȝouthe,youth
ȝouthede,youth
ȝouen,of
ȝoȝelinge,noise
ȝude,went
ȝuheðe,youth
ȝus,yes
ȝut,yet
ȝyng,young
imouen,possibility
dia-bardich,drug
dia-cassiafistla,tree
dia-borago,borage
dia-cameron,compound
dia-cartamus,saffron
dia-castorie,drug
dia-croca,saffron
dia-dactilicon,drug
dia-citonicon,drug
dia-catholicon,ingredients
dia-ciminum,cumin
dia-codion,poppies
dia-dragantum,gum
dia-flosmus,plaster
dia-gredie,laxative
dia-langa,sciatica
dialtea,mallow
dia-meron,mulberries
dia-nucum,walnuts
dia-olibanum,drug
dia-palma,oil
dia-nisum,tansy
dia-ntos,rosemary
dia-papaver,poppies
dia-penidion,famously_bruised_shin
dia-ponfiligos,oxide
dia-prunis,plums
dia-quilon,vegetable
dia-rubarbe,rhubarb
dia-rundines,ashes
dia-sene,drug
dia-spermaticon,seeds
dia-simphicum,comfrey
dia-spoliticum,drug
dia-tarascos,acid
dia-trionpiperion,peppers
dia-turbith,drug
dia-zinziberis,drug
pitiriasis,urinary
pitiriasi,urinary
a-angred,irritated
abaciste,abacus
abacus,abacus
abælien,provoke
abai,dogs
abaien,bark
abaiing,barking
abaillen,bail
abaishaunce,composure
abashement,dread
abaishen,embarrassed
abaishing,bewilderment
abait,excitement
abaiten,excite
abak,back
abakward,back
abandǒun,control
abandǒuning,surrender
abās,divas_duet
abatailled,fortified
abatailment,battlement
abātement,Judgment_affirmed
abater,pain
abāting,decrease
abāven,surprised
abbā,abbot
abbāciāl,abbey
abbater,ground
abbeie,estate
abbes,convent
abbicion,deviation
abbodesse,abbess
abbodīe,abbacy
abbod-rīce,abbot
abbot,abbey
abbot-lāf,loaf
abboship,abbot
abreviāciǒun,abridgement
abbreviāten,shorten
abecedary,primer
abēchen,feed
abedde,bed
abegging,gon
abeien,bend
abelef,obliquely
abelȝen,angry
ābellī,appropriately
abenche,bench
abēre,gesture
abēren,bear
abēring,behavior
abernen,burn
abēten,knock
abet,incitement
abettement,instigation
abetten,encourage
abetting,encouragement
abhomināble,repulsive
abhomināciǒun,nausea
abhorāble,abhorrent
abhorren,detest
abidden,pray
abīde,delay
abīden,waiting
abīder,perseveres
abīding,delay
abīdinglī,unceasingly
abīen,pay
abīing,penance
abilement,equipment
abīme,abyss
abiriȝan,taste
abisgod,occupied
abissus,primordial
abīten,kill
abitten,pay
abjecciǒun,lowliness
abject,outcast
abjecten,expel
abjectlī,humility
abjūrāciǒun,idolatry
abjūren,renounce
ablāciǒun,removal
ablactāciǒun,weaning
ablāken,darken
ablāmen,accuse
ablaqueāciǒun,soil
ablaqueāten,roots
ablasten,blow
ablāt,taken
āble,competent
āblen,enable
āblenes,proneness
ablīken,fade
ablīnden,blind
āblinge,oneself
abloi,reckless
ablouen,blow
ablūciǒun,impurities
abnegāciǒun,denial
abobbed,fool
abobben,mystify
abōd,delay
abolisshen,away
abolke,puffed
aborchi,aorta
abōrd,ship
abōrden,enter
abōrding,ship
aborst,rage
aborsum,abortion
abort,abortion
abōsten,defiant
abǒund,bountiful
abǒundāble,ample
abǒundaunce,lots
abǒundaunt,abundance
abǒundauntlī,sufficiently
abǒunden,plentiful
abǒunding,abundance
abǒundinglī,liberally
abǒute-gōn,revolve
abǒute,encircle
abǒute,clothed
abǒutes,directions
aboutien,phrase
abǒve-,upon
abǒven,rise
abǒve,heaven
abǒve,mentioned
abǒve-writen,written
abrasing,abrasion
abrēden,wide
abreǧement,shortening
abreǧen,shorten
abreǧing,shortening
abreid,upbraiding
abreiden,snatch
abreiding,upbraiding
abrēken,shatter
abressemyne,hawks
abrēthen,get
abrēven,record
abrōche,%_#F########_3v.jsn
abrōchen,broach
abrōching,cask
abrōd,throughout
abrōd,wide
abrōgāt,abolished
abrōǧen,abrogate
abrotāne,southernwood
abrotet,broth
abscisiǒun,removal
abscisǒurs,scissors
absence,absence
absent,absent
absenten,away
absenting,absence
absictus,precious
absinthe,bitterness
absinthiāt,wormwood
absinthium,wormwood
absoilen,pardon
absolven,release
absorpt,swallowed
absteinen,avoid
absteiner,self
absteining,refraining
abstersen,cleanse
abstersiǒun,cleansing
abstersīve,sores
abstersīven,cleanse
abstersīving,cleansing
abstinence,abstinence
abstinent,self
abstracciǒun,asceticism
abstract,document
abstractlī,worldly
aburhȝes,inhabited
abūs,improper
abūsaǧe,sexual
abūsen,abuse
abushement,ambush
abushen,conceal
abūsing,abuse
abūsiǒun,perversion
abutten,territory
abutting,archery
acāle,chilled
acangen,oneself
acasten,cast
a-caterwawed,yowling
acaunt-wīse,zigzag
accēden,adapted
accenden,kindle
accent,accent
accepciǒun,stipulation
accept,accept
acceptāble,agreeable
acceptāciǒun,acceptance
accepten,favorably
accepting,acceptance
acces,rashes_chills
accidence,HB####_Relating
accident,happens
accidentāl,incidental
accidentāllī,temporary
accidentlī,unnaturally
accīdie,lethargy
accīdiǒus,slothful
acciǒun,act
acciǒunāl,lawsuits
accīten,summon
accompanīen,join
accomplēt,performed
accomplen,perform
accomplisshement,attainment
accomplisshen,fulfill
accomplisshing,performance
accomplisshūr,fulfillment
accǒuntāble,responsible
accǒuntant,accounting
accǒunt,computation
accǒunten,count
acǒuntinge,calculation
accurrent,flowing
accūs,accusation
accūsant,negatives_Howman
acūsatīf,accusing
acūsatōrie,confessional
acūsātor,accuser
acūsement,accusation
acūsen,blame
acūsing,accusing
acustǒm,habit
accustǒmāble,familiar
accustǒmāblī,customarily
acustǒmaunce,habit
accustǒmed,accustomed
accustǒmen,habit
accustǒminge,habits
acelle,armpit
acēmin,adorn
acēmung,adornment
acerblī,harshly
acertainen,love_veronica_Mars
acertaining,assurance
acerten,assure
acēsen,cease
acēte,vinegar
acētǒus,vinegar
achabe,payed
achademie,garden
acharnen,flesh
achāt,purchase
achāte,stone
achātǒur,lord
achātrī,provisions
achaufen,warm
achaunǧed,altered
āche,ache
achekked,checked
achēsǒun,reason
achēsǒunen,accuse
achēte,property
achēten,ruler
acheuen,beware
aclænsien,remove
aclēren,away
aclīnen,slope
aclīved,sloping
acloien,harass
aclokke,clock
aclǒmmed,benumbed
aclōsen,enclose
aclōth,collapsed_Dincer
aclumsed,grasp
acoien,soothe
acōld,cold
acōlden,cold
acōlen,embrace
acǒlor,pretext
acǒmbled,paralyzed
acǒmbraunce,humiliation
acǒmbrement,vexation
acǒmbren,annoy
acǒmbringe,vexation
acǒmbrǒus,vexatious
acǒmen,come
acǒmpas,circle
aconītes,quot
acōren,suffer
acorus,iris
acōst,side
acǒuntre,combat
acǒuntren,clash
acǒupement,accusation
acǒupen,offense
acǒuping,collision
acoveren,regain
acquēre,acquire
acre,stinging
acrēsen,grow
acreuen,accrue
acrōchement,encroachment
acrōchen,gather
acrōchere,acquires
acrōching,seizure
acrois,cross
act,BY_ANDY_THOMPSON
acten,adjudicate
actǒur,plaintiff
acū,acute
acūāt,sharpened
acūement,sharpness
ācumendlīce,occur
acursedlīche,damnably
acursen,excommunicate
acursing,damnation
acūte,fevers_vomiting
acūtīves,improving
acwanc,eclipsed
acyanes,tians
acyllea,milfoil
ad-,latin
adaies,day
adamas,diamond
adamant,indestructible
adamantīn,adamant
adam-irǧik,adam
adanttrocay,beast
adapted,fitted
adār,calendar
adāsed,dazzled
adaue,death
adauen,shine
adaunten,subdue
adaunting,refutation
adden,add
addicāciǒun,demonstration
addiciǒun,arithmetic
adding,addition
additament,increment
adducciǒun,something
addūcen,bring
adēden,die
adefla,tree
adel,addled
adeleth,excrement
adempte,lost
adeps,fat
adese,adz
adēth,death
adetted,debt
adeuen,refresh
adevaunte,game
adēven,deafen
adhērence,attachment
adhērent,supporter
adieu,bye
adighten,dispose
adigression,digression
adīing,deathbed
adil,medicinal
adiliȝen,destroy
adinvenciǒun,inventing
adīten,indict
adjācent,adjacent
adjecciǒun,statement
adject,adjacent
adjecten,say
adjūrāciǒun,exorcism
adjūrement,entreaty
adjūren,oath
adjūrer,oath
adjūtōrī,aiding
adjūtōri,humerus
adjūvaunce,aid
adlen,earn
ādlig,listless
adling,merit
administrāciǒun,govern
administrātǒur,steward
administrātrīce,woman
administren,administer
administror,estate
admīrāble,admiration
admirācion,admiration
admission,acceptance
admissūre,male
admitten,receive
admittīble,permissible
admitting,fit
admixt,mingled
admixtiǒun,mingling
adnect,adjoining
adnullātion,annulment
adōlent,vine
adolescence,childhood
adolescenci,Routine_Paps_should
adolescent,young
adǒmben,lose
adonai,god
adopciǒun,child
adopten,adopt
ador,spelt
adornement,embellishment
adōten,foolish
adǒun,downward
adǒun-cast,overthrow
adǒun-right,directly
adǒun-rightes,straight
adǒun-ward,downward
adǒuren,worship
adǒuring,worship
adǒurnen,decorate
adǒuten,afraid
adoyle,awry
adquisiciǒun,attainment
adrauen,pull
adrēden,fear
adrēfen,banish
adrenchen,overwhelm
adressen,direct
adressing,correction
adrien,endure
adrīen,dry
adrīgh,away
adrillen,postpone
adrinken,drown
adrīven,banish
adrop,alchemical
adrǒuwen,dry
adubbement,splendor
adubben,knighthood
adūlātor,flatterer
adulled,dull
adulterī,adultery
adulteǒur,adulterer
adūnāt,united
adunen,din
aduocator,counsel
adūren,burn
adust,Homeopathic_medicines
adusten,heating
adustiǒun,excessive_perspiration
advenciǒun,adventitious
advent,advent
adventorer,gambler
adverbe,adverb
adversācion,hostility
adversaire,enemy
adversārie,inevitably_Schulberg
adversārilī,adversely
adversaunt,enemy
adverse,unfavorable
adversen,unfavorable
adversence,enmity
adversēr,enemy
adversiǒus,adversity
advertaunt,away
adverten,observe
advertence,attention
advertīsen,heed
advictailling,provisioning
advīe,envy
advincle,festival
advōcācion,church
advōker,intercessor
adweshen,suppress
adwīnen,dwindle
adwōle,falsely
æȝ-moran,eye
æl-fremed,outcast
aeromance,divination
aeromauncer,divination
ær-witte,unwise
ætgædere,together
æðelferthing-wyrt,medicinal
ætscēawian,appear
æuez,loyal
ævestlīce,hastily
af-,starved
afailen,fail
afaiten,shape
afaiting,pretenses
afallen,fall
afāmen,defame
afāren,gone
afaudth-nail,nail
afēblen,weaken
afeffement,fief
afeffen,reward
afeffǒur,trustee
afeinten,faint
afellen,fell
afer,afar
afēre,fear
afēred,frightened
afērednesse,fear
afēren,terrify
afēres,doings
afermen,cleanse
aferren,away
aferres,afar
aferrom,afar
afersen,remove
afēsen,terrify
afētement,manners
affābyl,courteous
affamine,famine
affect,desire
affecten,affection
affecting,desiring
affectūǒus,affectionate
affectūǒuslī,lovingly
affer,africa
afferlīed,amazed
affermaunce,ratification
affermen,make
afferming,confirmation
affīāble,betrothed
affīaunce,confidence
afficchen,fix
affīe,trust
affīen,faith
affīlen,polish
affirmāblī,affirmatively
affirmāciǒun,corroboration
affirmandlī,affirmatively
afflāt,inflated
afflicciǒun,pain
afflict,tormented
afflight,frightened
afflighten,excited
afflǒur,flour
afflūence,abundance
afflūent,abundant
affodil,allium
affoilen,adorn
affōmen,foam
affrai,fracas
affraien,brawl
affraiing,alarm
affrainen,bridle
affraiǒur,brawler
afframinge,profit
affricān,africa
affrīk,africa
afīlen,defile
afillen,fill
afilsten,ppl
afīnden,find
afīn,completely
afīnen,cease
afingred,starving
afīr,fire
afirst,first
afirthen,remove
afisheth,gon
afisshinge,fishing
aflashen,dash
afleien,dispel
aflighten,flee
aflōte,afloat
afluhte,flight
afoisted,musty
afǒnned,infatuated
afōre,beforehand
afōr,wind
afōre-,ahead
afōren-on,face
afōr,mentioned
a-fōrship,ship
afore-thought,premeditation
afōr,past
afōr,written
afǒunden,find
afǒundred,exhausted
afrainen,question
afresh,afresh
afrēten,devour
afrighten,terrified
afrǒunt,face
afrǒunten,insult
afte,pervert
aftemeste,last
after,poop
after-,bending
afterhēde,posterity
afterling,descendant
after-long,lengthwise
after-mēte,afternoon
after-ward,rear
afteward,mai
agāme,jest
agapis,medicinal
agarik,officinalis
agarīte,verjuice
agās,magpie
agāse,gazing
agasten,frighten
agāte,straightway
āǧe,age
āǧednes,senility
ageet,presented
ageinen,profit
āǧen,old
aǧendren,produced
āȝen-slaȝa,suicide
āǧent,acting
agerse,blade
agessen,expect
aǧet,fashionably
aǧǧer,stones
aggravāt,excommunication
aggravaunt,troublesome
aggregāciǒun,Ben_Hur_proportions
aggregant,abscess
aggregāt,comprising
aggregāten,collect
aggreǧǧen,heavier
aggreǧǧing,aggravation
aǧīble,seemly
agīen,take
agīled,beguiled
agilpercy,worm
agilten,sin
aginnen,start
aginnere,promotes
aginninge,initial
agiographe,scripture
agīsen,ornament
aǧiste,livestock
aǧistment,pasturing
aǧisten,pasture
aǧitāt,motion
aglen,confused
aglet,cord
aglīden,glide
aglīen,escape
aglift,startled
agliȝte,slip
aglopned,frightened
aglotien,feed
agnelet,lamb
agniciǒun,acknowledgment
agogge,suspense
agōn,depart
agraithen,prepare
agraithing,embellishment
agrāmen,angry
agraunten,grant
agrēdy,prepare
agrēmed,incensed
agrēt,wholesale
agricultor,cultivator
agricultūre,tillage
agriden,clash
agrillen,shudder
agriofagi,quot
agrippa,ointment
agrīsen,dread
agrōpen,investigate
agrōtien,glut
agrōtoning,surfeit
agrǒund,earth
agrǒunded,founded
agruǧǧen,resent
agruǧǧing,complaint
agrūwie,horror
agūe,dysentery_cholera
agū,acute
agūeys,indented
aguice,garment
aguler,needles
āhā,exclamation
ahebben,raise
ahīgh,loudly
ahungred,hungry
ahungrī,hungry
ahylden,incline
aidant,aid
aide,help
aiden,help
aiel,ancestors
aimant,adamant
ain,one
air,gaseous
air,noble
airen,trek
airī,air
airlī,air
aisel,vinegar
ai-whēr,wherever
ai-wiȝt,anything
ajoināt,allied
ajoinant,bordering
ajoinen,join
ajǒrneien,summon
ajǒurnement,postponing
ajǒurnen,appearance
ajǒurning,adjournment
ajuǧen,Sub_judice
ajusten,remedy
akamanda,stone
ākeful,painful
akēlden,cool
āken,famously_bruised_shin
akennednesse,rebirth
akennen,see
ākenning,birth
āker,arable
aker-man,land
akerven,cut
aketǒun,armor
aketǒunēr,maker
akimed,dumbfounded
āking,pain
aknouen,know
aknoue,admit
al-,lien
alabastre,alabaster
alabastrum,alabaster
alabandīne,orangey_brown
al-abǒute,directions
alacchen,seize
alacke,alack
alaezel,star
alai,metal
alaien,alloy
alaiing,tempering
alaine,breath
alainen,conceal
alāmed,paralyzed
alamire,sol
alamites,unknown
alānes,alans
alarded,fattened
alarǧe,length
alarǧen,extend
alarǧer,gives
alarǧing,spreading
alarm,alarm
a-last,last
alāte,recently
alatred,containing
alauda,bone
alandēr,roasted
alaunt,dog
albaras,lesions
alb-espine,hawthorn
albeston,Rubbery_pizza_languishing
albificāciǒun,whitening
albificāten,antimony
albificātīve,whiten
albion,britain
al-bisī,scarcely
al-chan,inn
alchimin,wormwood
alciǒun,halcyon
alcofol,powder
alcola,ulceration
aldaron,medicinal
aldeboran,star
alder,alder
alder-,alder
alderdōm,eminence
alder-man,Kasyapa
aldermanrīe,alderman
aldermanshipe,alderman
aldershipen,principalities
aldirān,star
aldret,alder
al-drihten,almighty
āle,ale
alectōrie,gizzard
alēden,away
alei,hallway
aleied,paths
aleien,situated
alemaine,german
alemainisc,german
alemanes,german
alembroth,salts
alenden,dwell
alēnen,grant
alengthe,length
alēop,landed
ale-pevere,garlic
āles,flaring
alesten,endure
alet,shoulder
alēten,disintegrate
alēthen,alleviate
aletten,impede
alexandrīn,land
alfilude,compound
alfīta,barley
al-fulnes,completeness
alf-wǒrt,orpine
algada,disease
algarbe,wine
algasen,disease
al-gāte,entirely
algebra,fracture
algǒur,cold
al-halwe,saints
alharbat,ulcer
alhaste,plant
al-heil,salutation
al-hōl,intact
al-hōlī,holy
al-hōllī,entirely
alīāǧe,alliance
alibban,survive
alīch,resembling
alīche,manner
ālienāciǒun,usufructuary
aliēnāt,aloof
aliēnen,Enforcing_habeas_corpus
aliēning,alienation
alīes,serviceberries
aliēte,eagle
al-if,though
aliǧǧen,subside
alighten,descend
alighting,alleviation
alightinge,stimulant
alightnen,spiritually
alīklī,equally
alimiten,fix
alīne,line
alīnen,anoint
alīr,cloth
alīsed,reputed
alissen,lessen
alīte,delay
alīðen,subside
aliðien,dismember
alīve,alive
alīves,alive
alkamīe,alchemy
alkamīne,brass
alkamist,alchemist
alkanamier,alchemist
alkanne,plant
alkarad,ankle
alkarōn,koran
alkenkenǧi,cherry
alkere,pudding
alketrān,asphalt
alkibrīt,sulphur
al-kin,kind
alkymer,alchemist
allectīf,inducement
allectūōs,seductive
allef,alphabet
alleǧement,alleviation
alleǧǧing,alleviation
allegorīe,theistic_religion
allegorik,spiritual
allegorīsen,spiritual
alleien,testify
allēlūiā,sung
allen,recognize
alleron,wing
alles,totally
alleviaunce,alleviation
allīance,alliance
allidātha,index
allīe,ally
allīen,alliance
alliǧeaunce,loyalty
alling,recognition
allinge,entirely
allocacion,authorization
allōn-spēche,soliloquy
allǒuāble,admissible
allǒuāblī,propriety
allǒuance,approbation
allǒuen,appreciate
allǒuing,forgiveness
allǒuinglī,approbation
al-lǒve,love
almaçūr,grandee
almaǧeste,compendious
almaille,beings
al-maner,kind
almarēth,star
almande,almond
almaunder,almond
alme,elm
almenāk,astronomical
almerīe,valuables
almes-dēde,charitable
almesful,charitable
almes-gern,benevolent
almeslēs,alms
almes,alms
almes,food
almes,house
almes,alms
almicanteras,galactic_equator
al-might,omnipotence
al-mightende,omnipotent
almight-ful,omnipotent
al-mightī,god
almightīhēde,omnipotence
al-mightīnes,omnipotence
almoin,possession
al-mōst,mostly
almurī,pointer
alnath,star
alod,wretched
alōe,aloe
aloft,aloft
alofte,upon
aloigne,wormwood
aloinement,recession
aloinen,remove
aloininge,illegal
alomp,happened
al-ōn,etc
al-ōnelī,verbs
alōnnesse,desolation
alonþ,phrase
alōre,discernment
alōsen,esteem
alōthen,aversion
alotten,allot
alǒud,aloud
aloue,low
alǒur,walkway
alǒured,furnished
alǒuring,parapet
al-ǒut,completely
alǒuten,deference
al-ǒutrelī,utterly
al-ōver,extent
alǒvien,love
alowes,journeyman
alowesed,roulade
alpe,thrush
alpes,alps
alpha,alphabet
alphabēte,alphabet
alphēta,star
alpīne,alpine
al-rēdī,alredy
al-right,straightway
al-sauf,safe
alsephur,quot
alsō,By_Elise_Viebeck
alte,height
al-swich,exactly
altea,mallow
altemetrīe,altitude
alterāble,changeable
alteraciǒun,change
alterāten,affect
alterath,bright
altercāciǒun,debate
altercand,wrangling
alteren,change
alterment,succession
alternāciǒun,alternation
alternātlī,mutually
alternen,vary
alþeodene,nations
alþeodī,alien
alþeodisc,alien
al-though,though
altificāciǒun,distillation
al-tīme,times
altitūde,elevation
alūmen,alum
alūmere,enlightens
alūminǒus,infused
alumner,illuminator
alumning,illumination
alunde,estranged
alūren,attract
alutel,distillation
alwealdend,omnipotent
al-wēlding,omnipotent
al-what,things
al-whēr,wherever
al-wight,uncanny
al-wīse,always
al-wittī,omniscient
al-wittīnes,omniscience
alyfen,grant
alytene,stooping
amad,moral_relativist
amadriades,nymphs
amaien,alarmed
amal,enamel
amalette,song
amalgam,amalgam
amalgamen,blend
amalgaming,alloying
amansinge,damnation
amarak,marjoram
amarītes,asbestos
amarscled,spotted
amartren,martyr
amarusca,camomile
amāsed,bewildered
amāsing,stupefactive
amāt,confounded
amāted,overcome
amatist,amethyst
amazōnes,amazons
ambāǧes,ambiguity
ambassāde,envoy
ambassadrīe,emissary
ambassāǧe,messenger
ambes-ās,luck
ambiciǒun,ambition
ambiciǒus,yearning
ambiciǒuslī,eagerly
ambidexter,Biventricular_means
amblaunt,gait
amble,gait
amblen,gait
ambler,horse
amblēre,pace
amboht,handmaid
ambre,bucket
ambre-grīs,ambergris
ambrōsiānisce,attributed
ambūlāry,movable
āme,guess
āmel,vessel
ameldian,betray
ameled,enameled
ameling,enameling
amelǒur,enameler
āmen,estimate
amendāble,salvation
amendment,amendment
amender,corrects
amendinge,mending
amēne,mediator
amēnen,bring
amengen,mix
amentīsen,weaken
amentissment,diminishing
amenūtīsing,weakening
ameos,genus
amēr,inflicted
amercīe,liable
amerciment,imposed
amērelī,bitterness
ameroch,mayweed
amerren,destroy
amersing,subjection
amerveilled,astonished
amervel,astonished
amervelen,marvel
amēsen,calm
amēsing,moderation
amesūren,temper
amēten,measure
amfract,labyrinth
amfractūǒus,winding
āmiāble,friendly
āmiāblī,amicably
amicāble,amicable
amiddel,intermediate
amid-mong,midst
amidǒun,hulled_barley
amid-right,right
amid-ward,near
amī,friend
amigdales,almonds
amigrāciǒun,permission
amīke,beloved
āminge,value
amirāl,ruler
amīren,admire
amirien,cheer
amis,wrong
amis-gōing,sinning
amissen,feel
amission,loss
amit,eucharistic
amitten,law
amlaȝe,weakling
amōciǒun,discharge
amoderāt,moderate
amoderen,bounds
amōmum,perennials_shrubs_trees
amonestement,exhortation
amonesten,exhort
amonestinge,exhortation
among,among
amoniciǒun,admonition
amorette,knot
amorning,mornings
amorǒus,love
amorǒuslī,ardently
amǒrtheren,murder
amortisment,alienation
amortīsen,alienate
amortīsinge,conveyance
amorwe,morning
amǒuntance,extent
amǒunten,ascend
amǒuntment,sum
amǒur,love
ampairi,injure
amphibena,snake
amphibille,ambiguous
amphiboloǧīe,ambiguity
amphiteātre,amphitheater
amphora,flask
ample,ample
amplī,amply
ampliāten,enlarge
amplīen,augment
amplifīen,expand
ampre,fig
ampte,ants
ampulle,flask
ampuller,maker
amurca,sediment
amylliēr,almond
amyvestyall,unknown
an-,7pm_svc
ana,pharm
anabulla,spurge
anacardus,nut
anadise,quot
anagogīe,biblical
anagoǧik,biblical
analempsie,disorder
analoǧīe,analogy
ānam,took
anameled,ornamented
anangred,irritated
anapped,drowsy
anarwen,timid
anasarca,dropsy
anatomīe,anatomy
anbelȝen,enraged
anbursten,anger
ancer,liquid
ancheisun,reason
anchōrīte,recluse
ancille,maid
ancipiter,prey
ancōnēr,maker
ancre,christian
and,adjectives_adverbs
and-,verbs
ander-sīth,former
andetnes,sins
andettan,profess
andȝit,sense
andȝitlēast,lack
andȝitol,perceptive
andrede,sedum
androgine,hermaphrodite
andromada,pyrites
andromece,constellation
androsinǒun,wort
andrunkenleik,intoxication
andseche,denial
andsēte,enemy
anspringen,issue
andwaiting,lying
and-weard,present
andwearden,answer
andweardnes,existence
andweorc,material
andwurden,answer
āne,singularly
anēgren,incense
anelās,dagger
anelet,ringlet
anēlen,wax_melts
anēling,firing
aneling,anointing
anemnen,mention
anentes,approximately
anent,near
āner,lonely
ānerlī,solely
anēt,dill
aneue,afresh
aneuen,restore
aneurismāl,aneurism
aneurismāt,aneurism
aneus,ringlets
anēweste,nearby
anēwest,near
anext,closest
anfencge,acceptable
anfermien,affirm
angard,arrogance
angarlī,extremely
angel,fish
angel-twacche,earthworm
anger,anguish
angerful,anxious
angerfullī,painfully
angerlī,cruelly
angernesse,affliction
angin,onset
angle,anglia
angle,area
anglen,fish
anglēr,angle
anglet,nook
angling,fishing
ang-nail,corn
angreǧǧen,make
angren,grieved
angrī,angry
angrīlī,petulantly
angrines,temper
angring,resentment
anguille,worm
anguis,distressing
angūlēr,zodiac
angūlǒus,recesses
angussinge,suffering
angwishlī,suspense
angwisshe,anxiety
angwisshen,anguish
angwisshǒus,anxiety
angwisshǒuslī,impetuously
anhebben,raise
anheien,raise
anheiinge,exaltation
anhenten,seize
anhēten,arouse
anhighten,exalt
anhitten,assail
anhungred,starving
anhyalde,withheld
anī,nouns
anī-bodī,anybody
anienten,destroy
anientishen,diminish
anientishing,extinction
anī-gātes,somehow
anīgh,nearby
anīghen,close
anightertīme,night
anight,night
anī-kin,kin
animadverten,notice
animāl,creature
anī-man,anyone
animāt,impertinent_flamboyant_endearingly
an-inne,within
anīs,anise
aniþerien,reduce
anī-thing,anything
anittida,diamond
anī-wei,anyhow
anī-what,ani
anī-whēr,anywhere
anī-wīse,manner
ān-kenned,begotten
anker,mooring
ankerāǧe,harbor
ankeren,cray_pot
ankeresse,nun
anlīch,likeness
anlīcnesse,nature
anlīcni,resemble
anecten,annex
anexen,annexed
annichilāt,destroyed
anniversārie,anniversary
annōten,record
annǒuncen,proclaim
annuelēr,commemoration
annullen,rescind
annulling,cancellation
annumerāten,enumeration
anunciāciǒun,Eucharistic_Sacrifice
anunciāt,announced
annuncion,festival
annxumnesse,distress
anoi,discomfort
anoiaunce,annoyance
anoien,offend
anoiful,annoying
anoiing,offending
anoiment,discomfort
anoiǒuslī,disconcerting
anoisaunce,nuisance
anoisen,injure
an-ōn,immediately
anōn-right,immediately
anon-ward,nearby
anopenað,open
anoselen,birds
anǒu,present
anǒumbren,include
anǒur,authority
anǒuren,salute
anǒuring,worshipping
anpairin,damage
ān-rēd,constant
ānrēdlīce,steadfastly
ānrēdnesse,steadfastness
anrid,horse
ansa,arch
ān-standende,living
anstōndan,persist
answēre,reply
answēring,answer
answēringlī,accordance
antartik,Lightning_flickered
ante-,ante
antecēdent,antecedent
antecēding,antecedent
antecessǒur,forebear
antecrīst,christ
ante-dāte,date
