абидныи,обидный
землемѣриѥ,геометрия
землемѣриѥ,геометрия
земленинъ,земляк
землимѣрьныи,землемерный
землица,землица
земльныи,земельный
земльскыи,земляной
землѧ,земля
земя,земля
зеновицы,Генуэзцы
зиждати,сдать
зизданиѥ,здание
зиминъ,зимний
злакъ,злак
златити,золотить
златитисѧ,золотиться
злато,золото
златоистъканыи,златотканный
златолюбиѥ,корыстолюбие
златолюбьць,корыстолюбец
златорѣчивыи,красноречивый
злачьныи,злаковый
злото,золото
злотыи,золотой
змии,змей
змииныи,змеиный
змия,змея
змлия,змея
змьи,змей
змьиныи,змеиный
змья,змея
змѣика,змейка
змѣя,змея
знамость,знакомство
знаниѥ,знание
знатьливыи,знающий
знатьць,знающий
зодии,зодиак
золоба,злоба
золобь,злоба
золовѣриѥ,зловерие
золотыи,золотой
золотьныи,золотистый
зубии,зубной
зубрь,зубр
зубьныи,зубной
зукъ,звук
зучьныи,звучный
зълобивыи,злобный
зълобьныи,злобный
зъловоньныи,зловонный
зъловонѧниѥ,зловоние
зълодѣивыи,злодейский
зълозаконьныи,противозаконный
зълоковарьствиѥ,коварство
зъломысльныи,злоумышленный
зълонравыи,злонравный
зълонравьнѣ,злонравно
зълообразиѥ,безобразие
зълообразовати,безобразничать
зълообразьныи,безобразный
зълопамѧтьнинъ,злопамятный
зълопоминаниѥ,злопамятство
зълословесовати,злословить
зълословити,злословить
зълословьныи,тщеславный
зълосмрадьныи,зловонный
зълостраданиѥ,страдание
зълосчастьныи,злосчастный
зълочьстьныи,бесчестный
зълурадыи,злорадный
зълчь,желчь
зълчьныи,желчный
зълычь,желчь
зълѣѥ,зло
зьдательныи,строительный
зьритель,зритель
зьркало,зеркало
зьрно,зерно
зьрьно,зерно
зьрьновыи,зерновой
зьрѣлыи,зрелый
зьрѣниѥ,зрение
зѣльныи,сильный
зѣница,зеница
ива,ива
ивовыи,ивовый
игла,игла
игра,игра
игральныи,игральный
играниѥ,игра
игрушка,игрушка
игумении,игумена
игъльныи,игольный
идолодѣлатель,идолослужитель
идолотрѣбьникъ,идолопоклонник
идолъ,идол
иереискыи,иерейский
ижати,выжать
иждагати,сжигать
иждатисѧ,выжаться
ижде,где
иждеконьныи,исконный
иждивити,истощить
иждигати,сжигать
иждизати,сжигать
иждимати,выжимать
ижекони,искони
ижеконьныи,исконный
ижещи,сжечь
избавитель,освободитель
избавитисѧ,избавиться
избавляти,избавлять
избавлятисѧ,избавляться
избавлѥниѥ,избавление
избавьникъ,избавитель
избезчествовати,обезчестить
избираниѥ,выбирание
избирати,выбирать
избиривыи,избирающий
избировати,избрать
изборъ,выбор
изборьныи,избранный
избрати,избрать
избратисѧ,избраться
избываниѥ,избыток
избытъчьствовати,изобиловать
избѣгати,избегать
избѣгнути,избежать
извалити,вывалить
изварити,сварить
изварятисѧ,свариться
изваяниѥ,изваяние
изваяти,изваять
изваяти,изваять
извезти,вывезти
извелѣниѥ,повеление
известь,известь
известьныи,известковый
извилиѥ,изобилие
извиратисѧ,извиваться
извити,вить
извоевати,отвоевать
извозчикъ,возчик
извозьникъ,извозчик
изволочениѥ,разоблачение
извольникъ,любовник
извращатися,изменяться
извращевати,изменять
извънутрьюду,изнутри
извъпрашати,расспрашивать
извьргнути,выгнать
извѣсити,взвесить
извѣсть,известие
извѣчати,отвечать
извѣшати,извещать
извѧзати,связать
изгасити,погасить
изглъбнути,завязнуть
изгнильство,гнилость
изгнити,сгнить
изгоньникъ,изгнанник
изгоняти,выгонять
изгорода,огород
изгородьныи,огородный
изграбити,ограбить
изгрубити,погрешить
изгънаниѥ,изгнание
изгыбати,исчезать
изгыбельныи,гибельный
изгынати,изгонять
издавити,раздавить
изджити,прожить
издобыти,раздобыть
издоровѣти,выздороветь
издработатисѧ,отработать
издрати,изодрать
издробити,раздробить
издушити,задушить
издълбити,выдолбить
издыханиѥ,издыхание
издѣватисѧ,издеваться
изиночити,изменить
изламати,сломать
изламатисѧ,сломаться
излечи,лечь
изливати,вылить
изливатисѧ,выливаться
излихыи,излишний
изличити,уличить
излияти,изливать
излиятисѧ,изливаться
изломити,сломать
изломъкъ,обломок
излучити,улучить
излѣзти,вылезти
излѣчити,вылечить
измарагдъ,изумруд
измерети,умереть
измирати,умирать
измолениѥ,извинение
измучити,замучить
измьрзати,замерзать
измѣнениѥ,изменение
измѣнити,изменить
измѣнованиѥ,изменение
измѣновати,изменять
измѣньливыи,изменчивый
измѣньныи,изменяемый
измѣняти,изменять
измѣрити,измерить
изнажитисѧ,обнажиться
изнарѧдити,снарядить
изнаходити,находить
изнезапа,внезапно
изнезапы,внезапно
изноровитисѧ,изготовиться
изнудъ,изнутри
изнуряти,изнурять
изобидѣти,обидеть
изобилиѥ,изобилие
изобиловати,изобиловать
изобиль,изобильно
изобильныи,изобильный
изобильнѣ,изобильно
изобильство,изобилие
изобильствовати,изобиловать
изобнажити,обнажить
изобразити,изобразить
изобразия,история
изобрѣтениѥ,изыскание
изобрѣтьникъ,изобретатель
изобрѣтьница,изобретательница
изоити,пройти
изообразити,изобразить
изооружити,вооружить
изоспѣти,успеть
изоставити,поставить
изострити,заострить
изостритисѧ,заостриться
израда,измена
изражати,изображать
израсти,вырасти
израстити,произрастить
изречениѥ,изречение
изринутисѧ,извергнуться
изричаниѥ,изречение
изровьновати,выровнять
изродитисѧ,родиться
изронити,проронить
изрушити,нарушить
изрьвьновати,приревновать
изрѣшениѥ,избавление
изрѧдица,причина
изумрудъ,изумруд
изумьныи,безумный
изутри,изнутри
изутрь,изнутри
изучати,поучать
изъяснити,разъяснить
изъясняти,разъяснять
изъясти,съесть
иконоразбиица,иконоборец
иконоразбителии,иконоборца
иконьныи,иконный
икра,икра
икъто,некто
илинъ,эллин
иловыи,иловый
иматисѧ,браться
именины,именины
имениньскыи,именинный
именоватисѧ,называться
имьство,свойство
иновѣрьствьныи,иноверный
инодушьныи,единодушный
инольды,иногда
инороговъ,единороговый
инорогъ,единорог
инородьныи,разнородный
иносказати,иносказать
иностаньныи,постоянный
иностраньникъ,иностранец
иностраньныи,иностранный
иностраньць,иностранец
иночимъ,отчим
иноязычьныи,иностранный
иншии,иной
инърогъ,единорог
иподрумиѥ,ипподром
искажати,искажать
исказити,оскопить
исказити,поразить
исказитисѧ,оскопиться
исказнити,наказать
искалати,выкалывать
исканути,капнуть
искапати,капнуть
искладати,выкладывать
искльвати,склевать
исколоти,расколоть
ископати,выкопать
ископовати,выкопать
ископовати,выкапывать
искочити,выскочить
искривити,искривить
искривлятисѧ,искривляться
искриѥ,искры
искрушениѥ,разрушение
искрушити,разрушить
искрьнии,искренний
искупати,выкупать
искуповати,покупать
искуповатисѧ,покупаться
искупъ,выкуп
искуситель,испытатель
искушаниѥ,искушение
искушатель,искуситель
искъ,иск
искыдати,кидать
испакостити,испортить
испечениѥ,выпекание
испещисѧ,испечься
испивати,выпить
испивати,пить
испирати,вынимать
испирывати,вымывать
испити,выпить
исплатити,выплатить
исплести,сплести
исплетати,плести
исплѣснивѣти,заплесневеть
исплѣснѣвѣти,заплесневеть
исповѣдываниѥ,исповедь
исповѣдьникъ,исповедующийся
исповѣдѣтися,исповедаться
испокастити,погубить
исполумьртвыи,полумертвый
исполъ,исполин
исполѣти,сгореть
испомьнѣти,вспомнить
испонашати,поносить
испоносити,поносить
испоручати,поручать
испоручатисѧ,поручаться
испоручитисѧ,поручиться
исправлятисѧ,исправляться
испраздьныи,праздный
испроводити,проводить
испродати,продать
испросити,просить
испроситисѧ,проситься
испрострѣтисѧ,распростереться
испрѧтати,спрятать
испускати,отпускать
испущевати,отпускать
испълзти,выползти
испълнивати,исполнять
испълняти,наполнять
испълнятисѧ,наполняться
испытаниѥ,испытание
испытати,испытывать
испытьство,испытание
испьстрити,пестреть
испѣти,успеть
испѣти,спеть
иставити,поставить
иставити,истощить
истаити,истощить
истаяти,растаять
истверезениѥ,отрезвление
истворениѥ,сотворение
истеканиѥ,истечение
истекати,истекать
истерезвитисѧ,протрезвиться
истертиѥ,стертость
истивыи,истинный
истирати,стирать
истовьныи,истинный
истомитисѧ,утомиться
истонути,утонуть
истопити,вытопить
истопити,потопить
истопнути,утонуть
истопнутисѧ,утонуть
истопѣти,утонуть
исторзати,исторгать
историкъ,историк
история,история
исторопитисѧ,поторопиться
источити,истощить
источьныи,проточный
истръгати,выстрогать
истрѣбитисѧ,очиститься
истрѧкнути,иссохнуть
истрѧсти,вытрясти
иступаниѥ,исступление
иступлениѥ,исступление
истъкати,соткать
истълчи,истолочь
истълчи,истолочь
истъщивати,растрачивать
истыдати,остывать
истыдѣти,остыть
истьба,изба
истьлѣньныи,истлевший
истьрзати,растерзать
истяжати,истязать
истѧгнутисѧ,растянуться
исучити,высушить
исушавати,осушать
исушати,осушать
исушити,осушить
исхождениѥ,исхождение
исхытити,похитить
исцѣдити,нацедить
исцѣлениѥ,исцеление
исцѣлитель,исцелитель
исцѣнити,оценить
исцѣпляти,сцепить
исчазати,исчезать
исчезати,исчезать
исчезениѥ,исчезновение
исчезнути,исчезнуть
исчеканити,отчеканить
исчистити,вычистить
исчистити,очистить
исчиститисѧ,отчиститься
исчистѣти,очистить
исчитати,сосчитать
исчьрпати,вычерпать
исшити,сшить
исщепляти,расщеплять
исъхати,иссыхать
исъхати,иссушать
исъхновениѥ,иссушение
исъхнути,иссохнуть
исъхнути,высохнуть
исыхати,высыхать
исякнути,иссякнуть
исѧкновениѥ,истечение
иѥреса,ересь
кабальныи,кабальный
каблукъ,каблук
каданиѥ,ладан
кадильныи,кадильный
кадъка,кадка
кадъка,кад
кажьдыи,каждый
казакъ,казак
казноватисѧ,наказываться
каковьство,качество
какыи,какой
калафуръ,камфора
калиграфия,каллиграфия
калиграфьскыи,каллиграфический
калина,калина
каменистыи,каменистый
каменосѣчьць,каменотес
каменьникъ,каменьщик
каменьносьрдыи,жестокосердый
канути,капнуть
канъ,хан
каньчивати,оканчивать
капля,капля
капуста,капуста
карыи,карий
катадьневьныи,каждодневный
католичьскыи,католический
качьство,качество
кашьль,кашель
каязньныи,покаянный
каяниѥ,покаяние
каяниѥ,покаяние
каяньныи,покаянный
каѳоликии,католический
квадратумъ,квадратно
квѣтъ,цвет
кедровъ,кедровый
кедръ,кедр
кедрь,кедр
кедрьныи,кедровый
кесаревъ,кесаревый
кесарь,кесарь
кесарьскъ,кесарский
кипарисъ,кипарис
кипарисьныи,кипарисовый
кирпичь,кирпич
кистка,кисточка
кисть,кисть
китовъ,китовый
китосъ,кит
китъ,кит
кишька,кишка
кладеньць,колодезь
кладяжьныи,колодезный
кладязьныи,колодезный
клаколъ,колокол
кланяти,наклонять
класти,класть
класъ,колос
клати,колоть
клатити,колотить
клатитисѧ,колотиться
клевотарь,клеветник
клеевитыи,клейкий
клеи,клей
кленъ,клен
клии,клей
кликунъ,крикун
кликъ,крик
клиниѥ,клинья
клицати,кричать
кличати,кричать
кличь,клич
клокотати,клокотать
кльвати,клевать
клюнъ,клюв
ключарь,ключник
ключатисѧ,случаться
ключьникъ,ключник
ключьница,ключница
клѣта,клетка
клѣтьчатыи,клетчатый
клѣщи,клещи
кнутиѥ,кнут
кнутъ,кнут
кобылии,кобылий
ковальня,наковальня
кованыи,кованный
коварьстьнѣ,коварно
коватисѧ,коваться
коворъ,ковер
ковшь,ковш
кожевьникъ,кожевенник
кожина,кожа
кожьныи,кожный
коза,коза
козии,козий
козичатыи,козий
козьлии,козлиный
козьлищь,козленок
козьлъ,козел
козьльныи,козлиный
коковати,куковать
колачь,калач
колесьница,колесница
колиждыи,каждый
количьство,количество
колиѥ,колья
колодьникъ,пленник
колодьныи,колодный
колодьць,колодец
колодязь,колодец
колокольница,колокольня
колокольць,колокольчик
колоти,колоть
колотисѧ,колоться
кользькыи,скользкий
колько,сколько
кольма,сколько
кольми,сколько
кольныи,колесный
кольскыи,скользкий
кольце,кольцо
колѣбитисѧ,колебаться
колѣнопоклонениѥ,коленопреклонение
комаръ,комар
коментарии,комментарий
комната,комната
комонь,конь
комора,комната
коневыи,конный
конопьныи,конопляный
конь,конь
коньскыи,конский
коньство,кони
коньчавати,оканчивать
коньчаникъ,наконечник
коньчиньныи,кончинный
конюшеньныи,конюшенный
конюшьня,конюшня
копати,копать
копонути,копнуть
копъть,копоть
копыто,копыто
копѣика,копейка
кора,кора
корабльныи,корабельный
корабльскыи,корабельный
корабльць,кораблик
корета,карета
коркодилъ,крокодил
корнава,казна
коробочька,коробочка
коробья,коробы
корова,корова
короваи,каравай
коровии,коровий
коровьница,скотница
королевъ,королевский
королевьскыи,королевский
королица,королева
король,король
коромыслъ,коромысло
коропъ,карп
коротошии,короткий
коротъкыи,короткий
корь,кора
косити,косить
косматыи,волосатый
коснутисѧ,коснуться
костьныи,костный
костьръ,костер
костяныи,костный
косьць,косарь
косякъ,кусок
котитисѧ,катиться
которатисѧ,ссориться
котъка,кошка
котьлъ,котел
котьльныи,котельный
котьльць,котелок
кофтанъ,кафтан
кочевати,кочевать
кошька,кошка
кошьница,корзина
крабьица,корзина
крава,корова
крадьба,кража
краеугъльныи,краеугольный
краинии,крайний
краиугъльныи,краеугольный
краица,окраина
кракати,каркать
краль,король
краплинка,вкрапление
крапля,капля
крапляти,окроплять
краса,красота
красильникъ,красильщик
краситисѧ,украшаться
краска,краска
красоватисѧ,радоваться
краста,короста
крастовыи,коростовый
красьно,прекрасно
кратошии,короткий
кратъ,раз
кратъкыи,короткий
крашениѥ,украшение
краще,короче
кремениѥ,кремни
кремень,кремень
кремѣ,кроме
кречатъ,кречет
кречьтаниѥ,квакание
кривость,лживость
кривь,кровь
кригъ,круг
крикъ,крик
крилатыи,крылатый
крильныи,крылатый
кричаниѥ,крик
кричь,крик
кролевая,королева
кроликъ,кролик
кроль,король
кромъ,кремль
кропивиѥ,крапива
кропля,капля
кропъ,укроп
кротостьныи,кроткий
кротъкыи,кроткий
крошьница,корзина
круглота,округлость
круглыи,круглый
круговатыи,кругловатый
круживо,кружево
кружька,кружка
кружькъ,кружок
крупица,крошка
круподушьныи,малодушный
крутити,крутить
круша,груша
кръвиныи,кровный
кръволитиѥ,кровопролитие
кръвомѣшьство,кровосмешение
кръвопивьць,кровожадный
кръвопролияниѥ,кровопролитие
кръворазлитиѥ,кровопролитие
кръвь,кровь
кръвьныи,кровавый
кръторыя,крот
кръхътъка,крошка
кръшька,крошка
крыжикъ,крестик
крышати,крошить
крьстии,крестный
крьстияна,христианка
крьстияныни,христианка
крьстияньскыи,христианский
крьстияньскыи,крестьянский
крьстияньць,крестьянин
крьстообразьно,крестообразно
крьстообразьнѣ,крестообразно
крьстьныи,крестный
крякнути,крякнуть
крѣплии,крепкий
крѣпостьныи,крепостной
крѣпъчѣѥ,крепче
крѣсениѥ,воскресение
кувшинъ,кувшин
куда,куда
куду,куда
куды,куда
кудь,куда
кузникъ,кузнец
кузница,кузница
кузньць,кузнец
кукавица,кукушка
кукла,кукла
куконосыи,горбоносый
кукпетра,кума
кулакъ,кулак
кумузъ,кумыс
кумызъ,кумыс
кунии,куний
куникъ,циник
купити,купить
купльныи,купленный
куповати,покупать
купьница,сообщница
купьнородьныи,однородный
купьцьскыи,купеческий
купьчина,купец
купьчьскыи,купеческий
курица,курица
кусати,кусать
кусина,куст
кусити,вкусить
кустарь,кустарник
кустикъ,кустик
кустовиѥ,кусты
кустъ,куст
кустьць,кустик
кусъ,кусок
кутия,кутья
кушатисѧ,пытаться
кънигъчии,книжник
кънижька,книжка
кънижьникъ,книжник
кънижьскыи,книжный
кънѧжия,князья
кънѧжьньство,княжество
кънѧжьскыи,княжеский
кънѧжьство,княжество
кънѧзия,князья
кънѧзьство,княжество
кърмиличичь,кормилец
кърмьникъ,кормчий
кърмьчия,кормчий
кърчииница,кузница
кърчильница,кузница
кърчьмьныи,корчменный
кывати,кивать
кыдати,кидать
кыижьдыи,каждый
кынутисѧ,кинуться
кыпѣниѥ,кипение
кыпѣти,кипеть
кыпѧтьнѧ,кипяток
кысель,кисель
кыханиѥ,чиханье
кычитисѧ,кичиться
кюпарисъ,кипарис
кѵриловица,кириллица
лавъчьныи,лавочный
ладанъ,ладан
ладитисѧ,мириться
ладия,лодка
лазутьникъ,лазутчик
лазутьчикъ,лазутчик
лазучикъ,лазутчик
лазучьникъ,лазутчик
лаичивыи,сварливый
лаканиѥ,лакание
лакати,алкать
лальць,лалец
ламати,ломать
лампада,лампада
лапоть,лапоть
ларьць,ларец
ласкавыи,льстивый
ласкавьно,льстиво
ласкавьныи,льстивый
ласкавѣ,льстиво
ластовица,ласточка
ластовичь,ласточкин
лачьныи,алчный
ле,еле
лебедь,лебедь
левъгитъ,левит
левъгитьскыи,левитский
лежальныи,лежалый
лежимыи,лежащий
лежьнька,лежебока
лекъ,лак
лещь,лещ
лизати,лизать
ликъ,лицо
ликъствованиѥ,ликование
лилии,лилия
лимень,лиман
липа,липа
липовыи,липовый
лисии,лисий
листвиѥ,листва
листвьныи,лиственный
лисъ,лес
литургия,литургия
литъвьникъ,литовец
лихо,плохо
лихоиманьникъ,лихоимец
лихоимьникъ,лихоимец
лихоимьствиѥ,лихоимство
лихоимьство,богатство
лихохытрьство,коварство
лицедѣяниѥ,лицемерие
лицелѣи,лицемер
лицемѣритисѧ,лицемерить
лицемѣрьство,лицемерие
лицетворити,олицетворять
лицьныи,лицевой
личьныи,личный
лишаи,лишай
лишаивыи,лишайный
лобеда,лебеда
лобода,лебеда
ловьникъ,охотник
лодеиныи,ладьи
лоди,лодка
лодииныи,лодочный
лодъчьныи,лодочный
ложиѥ,лозы
ложька,ложка
локати,лизать
локотъкъ,локоток
локоть,локоть
ломаныи,поломанный
ломити,ломить
ломитисѧ,ломиться
лопата,лопата
лопотати,лепетать
лось,лось
лошадь,лошадь
лудость,глупость
лудыи,глупый
лукавовати,лукавствовать
лукавьно,коварно
луконосыи,кривоносый
лукъ,лук
луна,Луна
луньновидьныи,луноподобный
луньныи,лунный
луньскыи,лунный
луча,луч
лучаи,случай
луче,лучше
лучина,лучина
луще,лучше
лъбьныи,лобный
лъгати,лгать
лъжепослушьство,лжесвидетельство
лъжепослушьствовати,лжесвидетельствовать
лъжесловьць,лжец
лъжесъвѣдѣтелевати,лжесвидетельствовать
лъжесъвѣдѣтель,лжесвидетель
лъжесъвѣдѣтельствовати,лжесвидетельствовать
лъжица,ложка
лъжь,ложь
лыжа,лыжа
лыснутисѧ,улыбнуться
лысыи,лысый
лычьныи,лыковый
лыщатисѧ,улыбаться
львичище,львенок
львичищь,львенок
львовьскыи,львиный
львъ,лев
льготьныи,льготный
льгъкыи,легкий
льлевьскыи,львиный
льнъ,лен
льнѧныи,льняной
льстивьныи,льстивый
льщениѥ,обольщение
люблениѥ,любовь
любомудрьць,мудрец
любопохотьныи,похотный
любопытаныи,любопытный
любочьстьно,благочестиво
любьзнѣ,любезно
любьникъ,любимец
любьныи,любимый
любьство,любовь
люжанинъ,мирянин
лютость,ярость
лючии,лучший
лѣгати,лежать
лѣностивьныи,ленивый
лѣпити,лепить
лѣса,лес
лѣска,леска
лѣстница,лестница
лѣсъкъ,лесок
лѣтати,летать
лѣтописаниѥ,летопись
лѣчити,лечить
лѣчитисѧ,лечиться
лѣшебьныи,лечебный
лѣяти,лить
лѣятисѧ,литься
лѧжати,лежать
мага,мгла
магнитъ,магнит
мазь,мазь
макъ,мак
малечьныи,маленький
маловрѣменьныи,кратковременный
малодушиѥ,малодушие
малодушьныи,малодушный
малословесьныи,немногословный
манаа,манна
манастрия,монахиня
манастырь,монастырь
манастырьскыи,монастырский
манатия,мантия
манонтия,мантия
манотия,мантия
мантия,мантия
маньна,манна
маслина,олива
маслиньница,смоковница
масльникъ,маслодел
масльныи,масляный
мастерьскыи,мастерский
мастрота,мастерство
мастырь,мастер
материца,мать
материя,материя
матерьнии,материнский
матерьны,матерный
матерьша,мачиха
махина,машина
махнути,махнуть
мачеха,мачеха
мащеха,мачеха
маяти,махать
медвѣдица,медведица
медвѣдь,медведь
медвѣжии,медвежий
медвѣчь,медвежий
медовыи,медовый
междоусобьныи,междоусобный
между,между
межеусобьныи,междоусобный
межиусобьныи,междоусобный
межу,между
межудвьриѥ,преддверие
межусобьныи,междоусобный
межь,между
мезгитъ,мечеть
мельница,мельница
метла,метла
метлица,метелка
мечиць,мечик
мигдольныи,миндальный
мизгать,мечеть
мизгить,мечеть
милостьница,любимица
милосьрдиѥ,милосердие
милосьрдыи,милосердный
милосьрдьныи,милостивый
милѣишии,милейший
мимоити,миновать
мимоходити,уходить
миндальныи,миндальный
миновениѥ,минование
минутисѧ,разминуться
миродьржитель,правитель
мироморъ,мрамор
мироносьныи,светоносный
мирьныи,мирный
мирьскыи,мирской
мирянинъ,мирянин
мисто,место
мистръ,магистр
митропольскыи,митрополичий
младеничьскыи,младенческий
младеньчьскыи,младенческий
младеньчьство,детство
младодьньство,молодость
младьство,молодость
млатити,молотить
млатъ,молот
млинъ,блин
млѣко,молоко
млѣти,молоть
млѣчьныи,молочный
мнаса,мина
мнихъ,монах
мнишица,монашка
мнишьскыи,монашеский
мнишьство,монашество
могомыи,могущий
могутьство,господство
можеловыи,можжевеловыи
мозгъ,мозг
мозольныи,мозольный
мои,мой
мокнути,мокнуть
мокротьныи,мокрый
мокрыи,мокрый
молания,молния
молитвовати,молиться
молитвьникъ,молельня
молитвьница,молельня
молодыи,молодой
молоко,молоко
молоти,молоть
молотити,молотить
молочьныи,молочный
мольбьникъ,молельня
монастырь,монастырь
монастырьскыи,монастырский
морозити,заморозить
морозъ,мороз
моромории,мраморный
мороморъ,мрамор
мороморяныи,мраморный
моршалокъ,маршал
моршольдъ,маршал
морьскыи,морской
морянинъ,моряк
мостовыи,мостовой
мостъкъ,мосток
моточьникъ,мятежник
мочити,мочить
мощеныи,вымощенный
мощь,мощи
мощьныи,сильный
мравии,муравей
мравия,муравей
мракота,темнота
мрамориѥ,мрамор
мраморяныи,мраморный
мрьтва,митра
мудити,медлить
мудрено,мудро
мудростьныи,мудрый
мудрьство,мудрость
мудьноязычьныи,медленноязычный
мужатисѧ,мужаться
муждениѥ,медление
муждрениѥ,мудрование
мужелеганиѥ,мужеложство
мужеубиица,убийца
мужичья,мужики
мука,мука
мурава,трава
муроморъ,мрамор
муроморяныи,мраморный
мутъ,омут
мутьно,бурно
муха,муха
мученикъ,мученик
мученица,мученица
мученичьскыи,мученический
мучительныи,мучительный
мучитисѧ,мучиться
мълвениѥ,моление
мълчаливыи,молчаливый
мълчаль,молчание
мълчальныи,молчаливый
мълчаниѥ,молчание
мълчаньныи,молчаливый
мълчати,молчать
мълънии,молнии
мълъния,молния
мъного,много
мъногодьневьныи,многодневный
мъногозрачьныи,многообразный
мъногоименитыи,знаменитый
мъногоименитьство,знаменитость
мъногократы,многократно
мъногократьно,многократно
мъноголюбьныи,многолюбимый
мъноголѣтьныи,многолетний
мъноголѣтьствиѥ,долгоденствие
мъногомужьныи,многолюдный
мъногомысльныи,многомысленный
мъногонародьныи,многочисленый
мъногонеизслѣдимыи,неизмеримый
мъногообразьныи,многообразный
мъногоплодьныи,многоплодный
мъногоразличьныи,многоразличный
мъногословиѥ,многословие
мъногострадальныи,многострадальный
мъногоустроиныи,многотрудный
мъногоусьрдьныи,усердный
мъногочадьныи,многодетный
мъногочеловѣчьныи,многолюдный
мъногочисльныи,многочисленный
мъногыкраты,многократно
мъножьство,множество
мъскусъ,мускус
мъшица,мошка
мъщѧ,мощи
мыкати,мычать
мыло,мыло
мыльныи,мыльный
мытарьскыи,мытарский
мытарьство,мытарство
мытва,мытье
мыти,мыть
мытисѧ,мыться
мышлениѥ,мысль
мышленыи,вымышленный
мышь,мышь
мышьца,мышца
мышьца,мошка
мьгновениѥ,мгновение
мьгнути,мигать
мьдлениѥ,промедление
мьдлити,медлить
мьдлость,медленность
мьдльно,медленно
мьдльныи,медленный
мьдльнѣ,медленно
мьне,мне
мьнитисѧ,вменяться
мьньшьми,меньше
мьнѣниѥ,мнение
мьрачь,мрак
мьрзати,замерзать
мьрзость,мерзость
мьртвьньныи,смертный
мьрътвыи,мертвый
мьскусъ,мускус
мьститель,мститель
мьщатисѧ,мстить
мѣдяныи,медный
мѣль,мель
мѣновати,обменивать
мѣстѣчько,местечко
мѣховыи,меховой
мѣшькъ,мешок
мѧсо,мясо
мѧсьникъ,мясник
мѧсьныи,мясной
мѧтежетворьныи,мятежный
на,нас
наблюдати,наблюдать
набольшии,наибольший
набостисѧ,наколоться
набрѣменити,нагрузить
наводиѥ,наводнение
наворотитисѧ,обратиться
навратитисѧ,обратиться
навьршати,совершать
навѣтьникъ,клеветник
навѣщати,посещать
наглашати,оглашать
нагонити,намекать
нагота,нагота
надаяти,давать
надвориѥ,двор
надъгробьныи,погребальныи
надъгънати,догнать
надъдѣлати,надстроить
надъломити,сломать
надътинати,надсекать
надыманиѥ,раздувание
надьневьныи,ежедневный
надѣти,надеть
надѣяниѥ,надежда
назапады,запад
назвати,назвать
назнаменаватисѧ,знаменоваться
назнаменаниѥ,назначение
назьданиѥ,созидание
наиманиѥ,наем
наимати,набирать
наиматисѧ,набираться
наименовати,назвать
наимовати,нанимать
наклоньныи,наклоненный
наковально,наковальня
наковальня,наковальня
наколѣнокъ,наколенник
наконьникъ,зачинщик
наконьчьникъ,наконечник
накрасоватисѧ,налюбоваться
накупити,подкупить
накърмити,накормить
накърмляти,накармливать
налагати,накладывать
налити,налить
налияти,наливать
наложениѥ,наложение
наложениѥ,наложение
налокати,вылакать
намастити,умастить
намѣнениѥ,назначение
намѣстъкъ,наместник
намѣстьныи,местный
нанесениѥ,нападение
нанѧти,нанять
напаваниѥ,напоение
нападаниѥ,нападение
нападениѥ,нападение
наперити,натыкать
напиватисѧ,напиваться
написавати,приписывать
напитисѧ,напиться
напитѣти,напитать
напитѣтисѧ,напитаться
наплакатисѧ,выплакаться
напоминаниѥ,наставление
напоѥвати,напоить
напрасьнивыи,вспыльчивый
напросити,просить
напрочь,напротив
напрочьне,напротив
напрѣдъ,пред
напрѧзаниѥ,натягивание
напутиѥ,напутствие
напълнениѥ,дополнение
напьрсьныи,нагрудный
напьсати,написать
наражатисѧ,рождаться
нарамьныи,наплечный
нарекованиѥ,название
нарековатисѧ,называться
наречися,назваться
нарицаниѥ,название
наровьнати,выровнять
наровьникъ,сторонник
народити,родить
народьныи,народный
народьство,множество
нарожениѥ,рождение
наружьникъ,насмешник
нарѣкати,называть
нарѣцати,называть
насажати,сажать
населити,населить
насельничьскыи,сельский
наслѣгъ,ночлег
наслѣдьствиѥ,наследство
насматряти,смотреть
насмисатисѧ,насмехаться
насмѣханиѥ,насмешка
насмѣхатисѧ,насмехаться
насовати,натыкать
настрѣкати,нарезать
настълань,постель
насъпатисѧ,выспаться
насъсатисѧ,насосаться
насыпати,насыпать
натравити,накормить
наустити,научить
научатисѧ,учиться
наушьва,нашивка
начатисѧ,начаться
начетатисѧ,считаться
начинатисѧ,начинаться
начиновати,зачинать
нашьва,нашивка
нашьствиѥ,нашествие
наястисѧ,наесться
наѣдениѥ,насыщение
наѣстисѧ,наесться
небещадьныи,небездетный
небещастьныи,причастный
неблагодарьныи,неблагодарный
неблазняисѧ,несоблазняемый
небрѣговати,пренебрегать
невазнивыи,несчастливый
невидимыи,невидимый
невидомыи,невидимый
невиноватыи,невинный
невольныи,безвольный
неврѣдьныи,невредимый
невъжженыи,незажженный
невъзблагодатиѥ,неблагодарность
невъзблагодатьныи,неблагодарный
невъзблагодѣтьныи,неблагодарный
невъздьржаньныи,несдержанный
невъздьрживыи,невоздержанный
